idx,inf_mu1,sup_mu1,inf_mu2,sup_mu2
1,92.1403303165,115.75165076615,165.412842329932,194.0042408158
2,92.1269597507311,115.764714615058,165.395787166091,194.020987440033
3,92.1134393720636,115.777617205404,165.378578898368,194.037576094781
4,92.0997692327553,115.790358485604,165.361217583108,194.054006724383
5,92.0859493853634,115.802938404119,165.34370327701,194.070279273162
6,92.071979882722,115.815356909469,165.3260360371,194.08639368546
7,92.0578607779821,115.827613950204,165.308215920778,194.102349905578
8,92.0435921235145,115.839709475991,165.290242984612,194.118147879
9,92.0291739748886,115.851643433642,165.272117288656,194.133787548058
10,92.0146063848445,115.863415773138,165.253838889907,194.149268858487
11,91.9998894076379,115.875026443288,165.235407847068,194.16459175465
12,91.9850230976494,115.886475393114,165.216824218982,194.179756181121
13,91.9700075093691,115.897762571872,165.198088064601,194.194762082698
14,91.954842697725,115.908887928721,165.179199443414,194.209609403987
15,91.9395287179732,115.919851412832,165.1601584153,194.224298089546
16,91.9240656242525,115.930652974837,165.140965038874,194.238828085534
17,91.9084534744918,115.941292561915,165.121619376993,194.253199334212
18,91.8926923234431,115.951770124767,165.102121489017,194.267411781681
19,91.8767822272786,115.962085613013,165.082471435894,194.281465372792
20,91.8607232424086,115.972238976377,165.062669278851,194.295360052458
21,91.8445154254037,115.982230164763,165.042715079297,194.309095765752
22,91.8281588333203,115.99205912793,165.022608899235,194.322672457496
23,91.8116535232533,116.00172581594,165.002350800695,194.336090072825
24,91.7949995527247,116.011230178771,164.981940846223,194.349348556695
25,91.7781969792537,116.020572166742,164.961379098344,194.36244785443
26,91.7612458599387,116.029751730936,164.940665619197,194.375387912079
27,91.7441462549267,116.038768819726,164.919800474244,194.388168672708
28,91.7268982216086,116.047623384586,164.898783725961,194.400790082711
29,91.7095018187258,116.056315375977,164.877615438336,194.413252087311
30,91.6919571052347,116.064844744489,164.856295675608,194.42555463182
31,91.6742641403109,116.07321144083,164.834824502275,194.437697661635
32,91.6564229834368,116.081415415747,164.8132019832,194.449681122124
33,91.6384336942666,116.089456620153,164.791428183447,194.4615049588
34,91.6202963328099,116.097335004947,164.769503168508,194.473169117087
35,91.6020109593783,116.105050521069,164.74742700424,194.484673542384
36,91.5835776342936,116.112603119787,164.72519975649,194.496018180442
37,91.5649964173926,116.119992753196,164.70282149064,194.507202977819
38,91.5462673716736,116.127219370573,164.680292275552,194.518227877931
39,91.5273905572516,116.134282924415,164.657612176929,194.529092827697
40,91.5083660357098,116.141183366095,164.634781262142,194.539797772708
41,91.4891938686273,116.147920647329,164.611799598536,194.550342658921
42,91.4698741182512,116.154494719508,164.588667254287,194.560727431803
43,91.450406846589,116.160905534601,164.565384297245,194.570952037489
44,91.4307921162748,116.167153044294,164.54195079604,194.581016421673
45,91.4110299899721,116.173237200583,164.518366819318,194.590920530378
46,91.3911205307479,116.1791579554,164.49463243622,194.600664309467
47,91.3710638018791,116.184915260811,164.470747716134,194.6102477049
48,91.3508598667499,116.190509069114,164.446712728567,194.619670662859
49,91.3305087882258,116.195939333465,164.422527542516,194.628933130377
50,91.3100106322385,116.201206004297,164.398192230344,194.638035051459
51,91.2893654621022,116.206309035001,164.373706861592,194.646976373278
52,91.2685733422607,116.211248378178,164.34907150704,194.655757042102
53,91.2476343375612,116.216023986366,164.324286237964,194.66437700405
54,91.2265485128977,116.220635812399,164.299351125682,194.672836205534
55,91.2053159336117,116.225083809002,164.274266242064,194.68113459276
56,91.1839366652127,116.229367929075,164.249031659175,194.689272112077
57,91.1624107733625,116.233488125704,164.223647449257,194.697248709995
58,91.140738324243,116.237444351797,164.198113685199,194.705064332724
59,91.1189193839093,116.241236560728,164.172430439708,194.712718926992
60,91.0969540189833,116.244864705647,164.146597786197,194.72021243916
61,91.0748422963335,116.248328739797,164.120615798378,194.727544815636
62,91.0525842827565,116.251628616832,164.094484549852,194.734716003277
63,91.0301800456149,116.254764290183,164.068204114926,194.741725948572
64,91.0076296515457,116.257735714345,164.041774567126,194.748574599134
65,90.9849331701211,116.260542841219,164.015195983212,194.755261899682
66,90.9620906683616,116.2631856256,163.988468437176,194.761787798045
67,90.9391022145597,116.265664021347,163.961592004443,194.768152240957
68,90.9159678772319,116.267977982441,163.934566760711,194.77435517522
69,90.8926877250471,116.270127463047,163.907392781852,194.780396547802
70,90.8692618271434,116.272112417201,163.880070144326,194.786276305425
71,90.8456902526929,116.273932799249,163.852598924618,194.791994395125
72,90.821973071161,116.275588563581,163.824979199572,194.797550763919
73,90.7981103522477,116.277079664692,163.797211046314,194.802945358883
74,90.7741021660955,116.278406056978,163.769294542525,194.808178126879
75,90.749948582812,116.279567695208,163.741229765821,194.813249015172
76,90.7256496729521,116.280564534043,163.713016794377,194.818157970809
77,90.7012055071376,116.281396528419,163.684655706438,194.822904941109
78,90.6766161564347,116.282063633168,163.656146580801,194.827489873176
79,90.6518816921365,116.282565803234,163.62748949654,194.83191271418
80,90.6270021845653,116.282902994872,163.598684531636,194.836173412722
81,90.6019777075152,116.283075161206,163.569731767995,194.840271913819
82,90.5768083318595,116.28308225862,163.540631284282,194.84420816607
83,90.5514941299313,116.282924242379,163.511383160842,194.84798211673
84,90.5260351740025,116.282601068149,163.481987477929,194.851593713491
85,90.500431537007,116.282112691274,163.452444316628,194.855042903547
86,90.4746832916772,116.281459067638,163.422753757754,194.858329634709
87,90.4487905112678,116.280640152946,163.392915882777,194.861453854467
88,90.4227532691273,116.279655903144,163.362930773271,194.86441551055
89,90.3965716391085,116.278506274019,163.332798511445,194.867214550391
90,90.3702456950131,116.277191221744,163.302519179429,194.869850921842
91,90.3437755108963,116.275710702582,163.272092859662,194.872324572784
92,90.3171611613137,116.274064672634,163.241519635214,194.87463545081
93,90.2904027208372,116.272253088323,163.210799589162,194.876783503842
94,90.2635002644286,116.270275906023,163.179932805069,194.878768679658
95,90.2364538671545,116.268133082344,163.148919366621,194.880590926253
96,90.2092636043811,116.265824573934,163.117759357874,194.882250191588
