i,j,inf_lam2,sup_lam2,inf_lam3,sup_lam3
1,2,61966.6687901423,66408.0639825614,66856.9507616929,71570.8897038067
2,2,61966.4210577113,66407.797714991,66856.6803421263,71570.5989017754
3,2,61966.1733289162,66407.5314514168,66856.4099274284,71570.3081051405
4,2,61965.9256037573,66407.2651918397,66856.1395175994,71570.0173139017
5,2,61965.6778822342,66406.9989362588,66855.8691126386,71569.7265280592
6,2,61965.4301643471,66406.7326846741,66855.5987125461,71569.4357476126
7,2,61965.1824500955,66406.4664370861,66855.328317322,71569.1449725619
8,2,61964.93473948,66406.200193494,66855.0579269662,71568.8542029069
9,2,61964.6870325,66405.9339538979,66854.7875414783,71568.5634386472
10,2,61964.4393291554,66405.6677182981,66854.5171608582,71568.2726797833
11,2,61964.1916294464,66405.4014866942,66854.2467851061,71567.9819263145
12,2,61963.943933373,66405.135259086,66853.9764142214,71567.6911782409
13,2,61963.6962409348,66404.8690354737,66853.7060482045,71567.4004355625
14,2,61963.4485521319,66404.6028158571,66853.435687055,71567.1096982791
15,2,61963.2008669643,66404.3366002361,66853.1653307729,71566.8189663904
16,2,61962.9531854319,66404.0703886107,66852.894979358,71566.5282398964
17,2,61962.7055075343,66403.8041809807,66852.6246328101,71566.237518797
18,2,61962.4578332716,66403.537977346,66852.3542911294,71565.9468030919
19,2,61962.2101626441,66403.2717777067,66852.0839543157,71565.6560927813
20,2,61961.9624956514,66403.0055820626,66851.8136223685,71565.3653878647
