i,j,inf_lam2,sup_lam2,inf_lam3,sup_lam3
1,4,61956.7623283179,66397.4163962803,66846.1377755041,71559.2618304441
2,4,61956.5147412727,66397.1502885097,66845.8675505973,71558.9712441669
3,4,61956.2671578603,66396.8841847321,66845.5973305547,71558.6806632809
4,4,61956.0195780812,66396.618084948,66845.3271153761,71558.390087786
5,4,61955.7720019353,66396.3519891568,66845.0569050615,71558.0995176821
6,4,61955.524429422,66396.0858973588,66844.7866996107,71557.808952969
7,4,61955.2768605417,66395.8198095537,66844.5164990237,71557.5183936466
8,4,61955.0292952941,66395.5537257415,66844.2463033001,71557.2278397149
9,4,61954.7817336792,66395.2876459221,66843.9761124401,71556.9372911736
10,4,61954.5341756971,66395.0215700954,66843.7059264436,71556.6467480225
11,4,61954.2866213471,66394.7554982614,66843.4357453102,71556.3562102615
12,4,61954.0390706299,66394.4894304199,66843.1655690399,71556.0656778909
13,4,61953.7915235448,66394.223366571,66842.8953976327,71555.7751509103
14,4,61953.5439800922,66393.9573067142,66842.6252310884,71555.4846293191
15,4,61953.2964402718,66393.6912508498,66842.3550694068,71555.1941131177
16,4,61953.0489040836,66393.4251989776,66842.084912588,71554.903602306
17,4,61952.8013715276,66393.1591510976,66841.8147606318,71554.6130968836
18,4,61952.5538426035,66392.8931072096,66841.544613538,71554.3225968505
19,4,61952.3063173112,66392.6270673139,66841.2744713065,71554.0321022069
20,4,61952.0587956508,66392.3610314096,66841.0043339371,71553.741612952
