i,x_inf,x_sup,theta_inf,theta_sup,lam2_sup,lam3_inf,isOK
86,0.90723,0.92137,0.031556,0.032049,15577.53237608887,15924.817068212007,OK
87,0.92137,0.93565,0.031556,0.032049,15111.690935365201,15590.64667642452,OK
88,0.93565,0.95048,0.031556,0.032049,14768.318317105783,15119.204447756325,OK
89,0.95048,0.96674,0.031556,0.032049,14376.603323778827,14720.346025918347,OK
90,0.96674,0.98313,0.031556,0.032049,13992.421697898164,14374.075567832053,OK
91,0.98313,1.001,0.031556,0.032049,13661.41158278589,14076.847291188316,OK
92,0.80163,0.81422,0.032049,0.032552,18968.431643674146,19301.276389916675,OK
93,0.81422,0.82696,0.032049,0.032552,18428.559632733384,18768.911533582639,OK
94,0.82696,0.83988,0.032049,0.032552,17911.97577791792,18248.851787764081,OK
95,0.83988,0.85299,0.032049,0.032552,17411.412060511469,17748.028560817373,OK
96,0.85299,0.86629,0.032049,0.032552,16916.49132774397,17265.797887925248,OK
97,0.86629,0.87973,0.032049,0.032552,16448.859481905907,16805.564103417895,OK
98,0.87973,0.89333,0.032049,0.032552,16000.162342684229,16349.576727186106,OK
99,0.89333,0.90723,0.032049,0.032552,15563.715275886992,15915.857625159069,OK
100,0.90723,0.92137,0.032049,0.032552,15097.46375299827,15564.472123338694,OK
101,0.92137,0.93565,0.032049,0.032552,14739.261438083378,15095.792873354414,OK
102,0.93565,0.95048,0.032049,0.032552,14354.306004299964,14712.959865090224,OK
103,0.95048,0.96674,0.032049,0.032552,13980.138739355838,14324.215238614053,OK
104,0.96674,0.98313,0.032049,0.032552,13603.986988096536,13993.062716181386,OK
105,0.98313,1.001,0.032049,0.032552,13283.152384182795,13701.632339213616,OK
106,0.78922,0.80163,0.032552,0.033064,18971.64524268101,19296.987947373207,OK
107,0.80163,0.81422,0.032552,0.033064,18435.101181072037,18768.886268640788,OK
108,0.81422,0.82696,0.032552,0.033064,17908.883734865383,18249.048803893857,OK
109,0.82696,0.83988,0.032552,0.033064,17400.494784699167,17751.259788182149,OK
110,0.83988,0.85299,0.032552,0.033064,16914.107487834572,17264.16752550787,OK
111,0.85299,0.86629,0.032552,0.033064,16443.03417605791,16795.301002154043,OK
112,0.86629,0.87973,0.032552,0.033064,15989.90253803063,16342.003759294619,OK
113,0.87973,0.89333,0.032552,0.033064,15544.05171202173,15903.469877426342,OK
114,0.89333,0.90723,0.032552,0.033064,15081.491346629353,15548.694819481667,OK
115,0.90723,0.92137,0.032552,0.033064,14711.365072340877,15071.893095577354,OK
116,0.92137,0.93565,0.032552,0.033064,14323.180487742504,14687.192540959446,OK
117,0.93565,0.95048,0.032552,0.033064,13943.434432624179,14316.670211603587,OK
118,0.95048,0.96674,0.032552,0.033064,13591.593579221326,13936.873150120704,OK
119,0.96674,0.98313,0.032552,0.033064,13222.375883063301,13617.895518702098,OK
120,0.98313,1.001,0.032552,0.033064,12911.910405821984,13331.451817581974,OK
121,0.77699,0.78922,0.033064,0.033584,18973.736991221576,19297.534763802199,OK
122,0.78922,0.80163,0.033064,0.033584,18432.76232711643,18770.49117730225,OK
123,0.80163,0.81422,0.033064,0.033584,17911.423446814068,18248.184498370367,OK
124,0.81422,0.82696,0.033064,0.033584,17399.383371821947,17747.778138730035,OK
125,0.82696,0.83988,0.033064,0.033584,16908.740922768073,17260.804623507473,OK
126,0.83988,0.85299,0.033064,0.033584,16437.719508794591,16790.554571650602,OK
127,0.85299,0.86629,0.033064,0.033584,15978.513134572771,16333.762001874567,OK
128,0.86629,0.87973,0.033064,0.033584,15537.323473056407,15899.651475799934,OK
129,0.87973,0.89333,0.033064,0.033584,15070.746317460378,15532.726205698078,OK
130,0.89333,0.90723,0.033064,0.033584,14700.882351265956,15062.923886092449,OK
131,0.90723,0.92137,0.033064,0.033584,14302.063377838655,14664.426480476772,OK
132,0.92137,0.93565,0.033064,0.033584,13917.180901041123,14288.557712780983,OK
133,0.93565,0.95048,0.033064,0.033584,13554.516435499774,13924.254056303433,OK
134,0.95048,0.96674,0.033064,0.033584,13205.27540107592,13562.125535071504,OK
135,0.96674,0.98313,0.033064,0.033584,12855.553070647798,13249.27454487324,OK
136,0.98313,1.001,0.033064,0.033584,12556.696899702298,12975.242674035439,OK
137,0.76495,0.77699,0.033584,0.034112,18978.702704209969,19308.372500699676,OK
138,0.77699,0.78922,0.033584,0.034112,18437.636765749401,18769.810849064732,OK
139,0.78922,0.80163,0.033584,0.034112,17909.50876324264,18251.911880294749,OK
140,0.80163,0.81422,0.033584,0.034112,17402.892798437988,17750.133312043927,OK
141,0.81422,0.82696,0.033584,0.034112,16906.086020839895,17263.463221666218,OK
142,0.82696,0.83988,0.033584,0.034112,16429.769790563918,16794.313702272735,OK
143,0.83988,0.85299,0.033584,0.034112,15971.71273181956,16333.371377762325,OK
144,0.85299,0.86629,0.033584,0.034112,15527.876093923147,15885.691953371057,OK
145,0.86629,0.87973,0.033584,0.034112,15064.954578548495,15508.305953557052,OK
146,0.87973,0.89333,0.033584,0.034112,14682.372322797773,15051.669982260173,OK
147,0.89333,0.90723,0.033584,0.034112,14278.37451188034,14657.430853011509,OK
148,0.90723,0.92137,0.033584,0.034112,13902.301846614522,14268.048207006541,OK
149,0.92137,0.93565,0.033584,0.034112,13525.741814430918,13903.369392203886,OK
150,0.93565,0.95048,0.033584,0.034112,13178.510420024833,13548.814373105786,OK
151,0.95048,0.96674,0.033584,0.034112,12834.912342682059,13198.633280961943,OK
152,0.96674,0.98313,0.033584,0.034112,12497.48203862079,12889.214858330783,OK
153,0.98313,1.001,0.033584,0.034112,12204.635550961744,12626.348672572736,OK
154,0.75309,0.76495,0.034112,0.034649,18980.163329045619,19307.132211282005,OK
155,0.76495,0.77699,0.034112,0.034649,18438.512742937364,18773.4234491975,OK
156,0.77699,0.78922,0.034112,0.034649,17913.272600945304,18259.63142157465,OK
157,0.78922,0.80163,0.034112,0.034649,17400.930937051682,17748.954443445451,OK
158,0.80163,0.81422,0.034112,0.034649,16905.669646021968,17268.850086417449,OK
159,0.81422,0.82696,0.034112,0.034649,16427.071627874993,16786.338744518467,OK
160,0.82696,0.83988,0.034112,0.034649,15965.16989233542,16342.860394664101,OK
161,0.83988,0.85299,0.034112,0.034649,15520.368854892953,15885.87340043662,OK
162,0.85299,0.86629,0.034112,0.034649,15062.655895930537,15486.947999605907,OK
163,0.86629,0.87973,0.034112,0.034649,14672.753943310408,15039.117053778984,OK
164,0.87973,0.89333,0.034112,0.034649,14269.849074471682,14641.947733041728,OK
165,0.89333,0.90723,0.034112,0.034649,13885.169822972877,14254.955172804979,OK
166,0.90723,0.92137,0.034112,0.034649,13506.16742314934,13880.810732102471,OK
167,0.92137,0.93565,0.034112,0.034649,13152.785075967358,13533.21640743265,OK
168,0.93565,0.95048,0.034112,0.034649,12805.543790028865,13191.572901599708,OK
169,0.95048,0.96674,0.034112,0.034649,12474.365357297613,12846.099825688794,OK
170,0.96674,0.98313,0.034112,0.034649,12147.197669240764,12545.085284441629,OK
171,0.98313,1.001,0.034112,0.034649,11864.980827777763,12287.395350751007,OK
172,0.7414,0.75309,0.034649,0.035195,18985.317822595138,19311.481767007706,OK
173,0.75309,0.76495,0.034649,0.035195,18444.780172106395,18776.94362723795,OK
174,0.76495,0.77699,0.034649,0.035195,17914.314352653542,18258.675104750626,OK
175,0.77699,0.78922,0.034649,0.035195,17403.348014577787,17760.252453021192,OK
176,0.78922,0.80163,0.034649,0.035195,16906.212777968132,17265.906072595393,OK
177,0.80163,0.81422,0.034649,0.035195,16424.146556119795,16797.485456980885,OK
178,0.81422,0.82696,0.034649,0.035195,15961.927349429383,16329.129971528992,OK
179,0.82696,0.83988,0.034649,0.035195,15517.67815425496,15883.054967461223,OK
180,0.83988,0.85299,0.034649,0.035195,15059.490532799726,15479.494792016161,OK
181,0.85299,0.86629,0.034649,0.035195,14662.883447431539,15033.825087538693,OK
182,0.86629,0.87973,0.034649,0.035195,14256.453841380831,14636.268778840069,OK
183,0.87973,0.89333,0.034649,0.035195,13860.896281157015,14245.125049961724,OK
184,0.89333,0.90723,0.034649,0.035195,13489.879651918391,13872.428135857899,OK
185,0.90723,0.92137,0.034649,0.035195,13129.813535359935,13506.467364279146,OK
186,0.92137,0.93565,0.034649,0.035195,12782.653313457215,13165.582321779753,OK
187,0.93565,0.95048,0.034649,0.035195,12444.512910598531,12829.881596479419,OK
188,0.95048,0.96674,0.034649,0.035195,12128.493262746808,12498.168273533545,OK
189,0.96674,0.98313,0.034649,0.035195,11810.164840940926,12212.625404134975,OK
190,0.98313,1.001,0.034649,0.035195,11535.006883650818,11960.188383571769,OK
191,0.7299,0.7414,0.035195,0.035749,18992.635864973323,19310.781161862775,OK
192,0.7414,0.75309,0.035195,0.035749,18443.669188527376,18776.912175892179,OK
193,0.75309,0.76495,0.035195,0.035749,17919.404597115827,18261.14490330168,OK
194,0.76495,0.77699,0.035195,0.035749,17402.778876935317,17758.885353235848,OK
195,0.77699,0.78922,0.035195,0.035749,16898.712981086312,17272.228630586498,OK
196,0.78922,0.80163,0.035195,0.035749,16426.851889059228,16790.582159056772,OK
197,0.80163,0.81422,0.035195,0.035749,15963.894020442407,16331.23589666244,OK
198,0.81422,0.82696,0.035195,0.035749,15511.131916099266,15880.054079363319,OK
199,0.82696,0.83988,0.035195,0.035749,15062.143748503171,15468.79253433663,OK
200,0.83988,0.85299,0.035195,0.035749,14654.274894225591,15031.231006664979,OK
201,0.85299,0.86629,0.035195,0.035749,14246.804875283769,14625.681271275173,OK
202,0.86629,0.87973,0.035195,0.035749,13855.810108308184,14233.832432260344,OK
203,0.87973,0.89333,0.035195,0.035749,13475.232869681846,13857.96051244411,OK
204,0.89333,0.90723,0.035195,0.035749,13111.555957899336,13492.270118461965,OK
205,0.90723,0.92137,0.035195,0.035749,12761.133348134927,13141.410252580137,OK
206,0.92137,0.93565,0.035195,0.035749,12422.838634777518,12808.740986236233,OK
207,0.93565,0.95048,0.035195,0.035749,12102.148262073311,12482.447760120611,OK
208,0.95048,0.96674,0.035195,0.035749,11795.850325531297,12161.626412036581,OK
209,0.96674,0.98313,0.035195,0.035749,11484.197385804195,11880.331117371468,OK
210,0.98313,1.001,0.035195,0.035749,11212.299371624717,11640.976462252314,OK
211,0.71859,0.7299,0.035749,0.03631,18991.914821718681,19316.19007885487,OK
212,0.7299,0.7414,0.035749,0.03631,18447.76672026845,18779.039990671357,OK
213,0.7414,0.75309,0.035749,0.03631,17921.375545787698,18261.232078464454,OK
214,0.75309,0.76495,0.035749,0.03631,17406.744345779676,17762.537104276675,OK
215,0.76495,0.77699,0.035749,0.03631,16908.600996870206,17268.291245448116,OK
216,0.77699,0.78922,0.035749,0.03631,16427.457389763946,16793.848071760509,OK
217,0.78922,0.80163,0.035749,0.03631,15964.764440044275,16329.982594600106,OK
218,0.80163,0.81422,0.035749,0.03631,15509.22792201433,15882.09558363289,OK
219,0.81422,0.82696,0.035749,0.03631,15069.316265660556,15461.397968189225,OK
220,0.82696,0.83988,0.035749,0.03631,14650.030663183989,15039.345551266515,OK
221,0.83988,0.85299,0.035749,0.03631,14242.646000082892,14627.013018994228,OK
222,0.85299,0.86629,0.035749,0.03631,13842.839145704898,14227.545126818537,OK
223,0.86629,0.87973,0.035749,0.03631,13458.937467879632,13852.198292867919,OK
224,0.87973,0.89333,0.035749,0.03631,13101.429541832971,13483.178321009284,OK
225,0.89333,0.90723,0.035749,0.03631,12745.134615304061,13129.948969038514,OK
226,0.90723,0.92137,0.035749,0.03631,12398.263143209913,12785.837584739165,OK
227,0.92137,0.93565,0.035749,0.03631,12076.681436937675,12470.196016901504,OK
228,0.93565,0.95048,0.035749,0.03631,11764.600046425159,12148.425731409368,OK
229,0.95048,0.96674,0.035749,0.03631,11463.290013252445,11837.359569870569,OK
230,0.96674,0.98313,0.035749,0.03631,11164.534711037688,11567.146040480928,OK
231,0.98313,1.001,0.035749,0.03631,10906.476671673454,11331.852323904061,OK
232,0.70748,0.71859,0.03631,0.03688,18995.39489508624,19318.080383441862,OK
233,0.71859,0.7299,0.03631,0.03688,18456.252564223756,18784.049197465236,OK
234,0.7299,0.7414,0.03631,0.03688,17924.808723640741,18267.772983737123,OK
235,0.7414,0.75309,0.03631,0.03688,17414.132737550583,17768.430665188658,OK
236,0.75309,0.76495,0.03631,0.03688,16911.667661470481,17273.171711215065,OK
237,0.76495,0.77699,0.03631,0.03688,16429.990478886608,16799.404592830655,OK
238,0.77699,0.78922,0.03631,0.03688,15963.394164774507,16334.390548403027,OK
239,0.78922,0.80163,0.03631,0.03688,15507.242223702717,15883.993389294601,OK
240,0.80163,0.81422,0.03631,0.03688,15069.269025434938,15452.945904002376,OK
241,0.81422,0.82696,0.03631,0.03688,14647.829449601846,15030.704243113789,OK
242,0.82696,0.83988,0.03631,0.03688,14235.380086902309,14620.037713156755,OK
243,0.83988,0.85299,0.03631,0.03688,13842.144057638749,14227.300452326535,OK
244,0.85299,0.86629,0.03631,0.03688,13455.527601157062,13846.998498718864,OK
245,0.86629,0.87973,0.03631,0.03688,13082.474643372592,13476.177805894658,OK
246,0.87973,0.89333,0.03631,0.03688,12728.453938185643,13121.912110237343,OK
247,0.89333,0.90723,0.03631,0.03688,12389.250590074698,12778.972523986371,OK
248,0.90723,0.92137,0.03631,0.03688,12057.693460219587,12445.665607168485,OK
249,0.92137,0.93565,0.03631,0.03688,11738.207453598676,12130.075147324507,OK
250,0.93565,0.95048,0.03631,0.03688,11436.323832167569,11823.375372461598,OK
251,0.95048,0.96674,0.03631,0.03688,11141.60093627485,11524.142266436467,OK
252,0.96674,0.98313,0.03631,0.03688,10853.288741250786,11258.168551973687,OK
253,0.98313,1.001,0.03631,0.03688,10599.00374745525,11034.11621891631,OK
254,0.69656,0.70748,0.03688,0.037458,18995.850775527284,19326.892857767871,OK
255,0.70748,0.71859,0.03688,0.037458,18453.237092884487,18793.92825801851,OK
256,0.71859,0.7299,0.03688,0.037458,17928.894653386888,18272.531483783841,OK
257,0.7299,0.7414,0.03688,0.037458,17420.012147796209,17767.408813644473,OK
258,0.7414,0.75309,0.03688,0.037458,16919.209025402273,17280.274211635784,OK
259,0.75309,0.76495,0.03688,0.037458,16433.405973964364,16802.97273276329,OK
260,0.76495,0.77699,0.03688,0.037458,15968.309925925134,16342.804681168653,OK
261,0.77699,0.78922,0.03688,0.037458,15516.355628495052,15889.770707316993,OK
262,0.78922,0.80163,0.03688,0.037458,15072.930141751278,15454.066689231955,OK
263,0.80163,0.81422,0.03688,0.037458,14646.948575622706,15035.058616433074,OK
264,0.81422,0.82696,0.03688,0.037458,14233.719681329232,14622.741100423753,OK
265,0.82696,0.83988,0.03688,0.037458,13835.437481180234,14228.317125426158,OK
266,0.83988,0.85299,0.03688,0.037458,13449.280719609184,13845.862730087067,OK
267,0.85299,0.86629,0.03688,0.037458,13078.574849282921,13474.869583176753,OK
268,0.86629,0.87973,0.03688,0.037458,12716.588528356877,13114.683824710566,OK
269,0.87973,0.89333,0.03688,0.037458,12367.229162368083,12767.377660501281,OK
270,0.89333,0.90723,0.03688,0.037458,12042.972841584391,12431.539736266155,OK
271,0.90723,0.92137,0.03688,0.037458,11721.460700206102,12115.394822376551,OK
272,0.92137,0.93565,0.03688,0.037458,11411.97533439427,11802.342989296099,OK
273,0.93565,0.95048,0.03688,0.037458,11116.258261838891,11508.0031058165,OK
274,0.95048,0.96674,0.03688,0.037458,10835.882841088011,11218.526611510135,OK
275,0.96674,0.98313,0.03688,0.037458,10553.902606723257,10959.956749873623,OK
276,0.98313,1.001,0.03688,0.037458,10310.152595327259,10741.183270775442,OK
277,0.68582,0.69656,0.037458,0.038044,19001.454379597646,19327.879594415579,OK
278,0.69656,0.70748,0.037458,0.038044,18458.108677149965,18796.356702656216,OK
279,0.70748,0.71859,0.037458,0.038044,17933.391437503476,18275.59893546551,OK
280,0.71859,0.7299,0.037458,0.038044,17423.842553769588,17771.539024483802,OK
281,0.7299,0.7414,0.037458,0.038044,16923.721526004287,17286.452312889312,OK
282,0.7414,0.75309,0.037458,0.038044,16440.311427751414,16808.709464459458,OK
283,0.75309,0.76495,0.037458,0.038044,15970.62697164225,16353.347702721592,OK
284,0.76495,0.77699,0.037458,0.038044,15523.478194287429,15895.658785414396,OK
285,0.77699,0.78922,0.037458,0.038044,15078.167946490665,15461.731406384852,OK
286,0.78922,0.80163,0.037458,0.038044,14645.235248167424,15038.886273155495,OK
287,0.80163,0.81422,0.037458,0.038044,14235.05171362269,14624.955046579669,OK
288,0.81422,0.82696,0.037458,0.038044,13835.170315783476,14228.923889634432,OK
289,0.82696,0.83988,0.037458,0.038044,13446.321063928022,13846.893798614205,OK
290,0.83988,0.85299,0.037458,0.038044,13072.506478471238,13474.226228624322,OK
291,0.85299,0.86629,0.037458,0.038044,12712.953046194883,13109.227480639571,OK
292,0.86629,0.87973,0.037458,0.038044,12365.048384660457,12762.402465234443,OK
293,0.87973,0.89333,0.037458,0.038044,12028.556580963608,12427.791995029025,OK
294,0.89333,0.90723,0.037458,0.038044,11702.056495652019,12100.476374049404,OK
295,0.90723,0.92137,0.037458,0.038044,11390.981011295644,11784.731652202303,OK
296,0.92137,0.93565,0.037458,0.038044,11094.347515869798,11489.588954295717,OK
297,0.93565,0.95048,0.037458,0.038044,10809.095557038012,11204.390905888315,OK
298,0.95048,0.96674,0.037458,0.038044,10532.476787351621,10925.355652346681,OK
299,0.96674,0.98313,0.037458,0.038044,10262.532229029879,10672.833385932741,OK
300,0.98313,1.001,0.037458,0.038044,10024.799648182554,10459.781697158702,OK
301,0.67527,0.68582,0.038044,0.038638,19000.938971347972,19314.706108584884,OK
302,0.68582,0.69656,0.038044,0.038638,18461.726359016469,18793.584679545045,OK
303,0.69656,0.70748,0.038044,0.038638,17936.472649728727,18280.914664156098,OK
304,0.70748,0.71859,0.038044,0.038638,17424.721571615253,17777.894636644869,OK
305,0.71859,0.7299,0.038044,0.038638,16929.273506577836,17301.471275504417,OK
306,0.7299,0.7414,0.038044,0.038638,16445.977549828211,16823.711423797344,OK
307,0.7414,0.75309,0.038044,0.038638,15976.105415671102,16365.565469113788,OK
308,0.75309,0.76495,0.038044,0.038638,15522.532253460678,15902.612666380748,OK
309,0.76495,0.77699,0.038044,0.038638,15080.939554326531,15466.251583974745,OK
310,0.77699,0.78922,0.038044,0.038638,14650.017176699899,15042.579747820468,OK
311,0.78922,0.80163,0.038044,0.038638,14237.193643520492,14629.90376037438,OK
312,0.80163,0.81422,0.038044,0.038638,13834.797450301627,14240.883748440243,OK
313,0.81422,0.82696,0.038044,0.038638,13445.491215622988,13847.488530581575,OK
314,0.82696,0.83988,0.038044,0.038638,13073.18677700045,13483.918821714318,OK
315,0.83988,0.85299,0.038044,0.038638,12709.869878780268,13108.77763268437,OK
316,0.85299,0.86629,0.038044,0.038638,12355.505036764082,12756.124762768321,OK
317,0.86629,0.87973,0.038044,0.038638,12019.529172218561,12420.380865446052,OK
318,0.87973,0.89333,0.038044,0.038638,11692.664703139008,12094.331732138478,OK
319,0.89333,0.90723,0.038044,0.038638,11381.732480149409,11778.023266672148,OK
320,0.90723,0.92137,0.038044,0.038638,11078.020258819028,11474.723301003814,OK
321,0.92137,0.93565,0.038044,0.038638,10786.213531769563,11185.959292956775,OK
322,0.93565,0.95048,0.038044,0.038638,10509.423319035735,10907.532452110412,OK
323,0.95048,0.96674,0.038044,0.038638,10241.362871513345,10637.219608166291,OK
324,0.96674,0.98313,0.038044,0.038638,9977.9369557775299,10390.655345781062,OK
325,0.98313,1.001,0.038044,0.038638,9752.2913944652537,10183.264315854094,OK
326,0.66492,0.67527,0.038638,0.039238,19007.65540871333,19326.358019139105,OK
327,0.67527,0.68582,0.038638,0.039238,18465.434855021154,18796.315958220555,OK
328,0.68582,0.69656,0.038638,0.039238,17942.750138983974,18281.502150480621,OK
329,0.69656,0.70748,0.038638,0.039238,17430.100801678927,17783.53498001548,OK
330,0.70748,0.71859,0.038638,0.039238,16934.777776358926,17296.473099720955,OK
331,0.71859,0.7299,0.038638,0.039238,16452.78741491105,16829.931711237168,OK
332,0.7299,0.7414,0.038638,0.039238,15985.143530554129,16361.178728565474,OK
333,0.7414,0.75309,0.038638,0.039238,15529.415694474599,15910.99091168322,OK
334,0.75309,0.76495,0.038638,0.039238,15088.519438733954,15470.902914877051,OK
335,0.76495,0.77699,0.038638,0.039238,14658.694196425831,15050.530857272077,OK
336,0.77699,0.78922,0.038638,0.039238,14242.166370651665,14639.836278520372,OK
337,0.78922,0.80163,0.038638,0.039238,13838.934076431926,14237.716016832848,OK
338,0.80163,0.81422,0.038638,0.039238,13447.179077965349,13856.844942493675,OK
