a,b,lambda1,lambda2,lambda3,lambda4
0.55,0.05,4666.229147598575,5671.479396927969,6487.126581682131,7296.190601944101
0.55,0.06,3313.4436768319915,4122.833402156258,4788.732915881521,5456.4433105163835
0.55,0.07,2486.9917114352716,3162.5957083052654,3725.9292253743633,4296.657918274441
0.55,0.08,1943.8746182253424,2522.8218730621275,3011.6765715475003,3511.7075708736284
0.55,0.09,1567.065757107778,2073.215992042317,2505.6351698454077,2951.9120469077093
0.55,0.1,1294.449090749131,1743.9811872671914,2132.2183581300806,2536.2970498849054
0.55,0.11,1090.5199169105908,1494.8746561926116,1847.6142716532468,2217.7174349416337
0.55,0.12,933.7640287415181,1301.309364126226,1624.918810017248,1967.0972516291597
0.55,0.13,810.5137749668021,1147.5423718640532,1446.8210363377366,1765.6511978832652
0.55,0.14,711.740248363487,1023.0953687740335,1301.7446761641609,1600.7678058437032
0.55,0.15,631.2796205640775,920.7632477270396,1181.6933981880547,1463.7029760391458
0.55,0.16,564.8043457866917,835.4521289637001,1080.988973490176,1348.224984031683
0.55,0.17,509.2016768293119,763.4734043769943,995.501935752094,1249.785776837707
0.55,0.18,462.18489114930566,702.0996809166587,922.1659940618072,1164.996283722705
0.55,0.19,422.0425945482581,649.2769047781219,858.6621831896433,1091.2840016848784
0.55,0.2,387.47269804416095,603.43272800991,803.2079254257511,1026.6634206531478
0.55,0.21,357.4698466972017,563.3459183432639,754.4128293974356,969.5782208486943
0.55,0.22,331.2474704777194,528.055490197486,711.1780396098678,918.7900931928746
0.55,0.23,308.18278185829803,496.79628001233385,672.6246619380177,873.2981657468881
0.55,0.24,287.7772993581214,468.95249221133764,638.0420043745106,832.2782089668499
0.55,0.25,269.6280740270773,444.02368617694316,606.8495764430552,795.0333862364862
0.55,0.26,253.40642027146194,421.59952253984295,578.5688071343507,760.9487288895141
0.55,0.27,238.84199038459406,401.3407722157294,552.8017380742821,729.4397948982945
0.55,0.28,225.71070856860104,382.9648667384892,529.2147993971647,699.8854685177098
0.55,0.29,213.82552906079295,366.2347845666319,507.52634406102965,671.5632626250455
0.55,0.3,203.02928576035598,350.9504174270781,487.4970019567406,643.7477699323175
0.55,0.31,193.18910814995135,336.9418008939041,468.92218007011473,616.1927984127173
0.55,0.32,184.19202238952184,324.0637607783175,451.6262180362218,589.3778418390411
0.55,0.33,175.94145787554294,312.19164510357564,435.4578343061855,563.9224913728232
0.55,0.34,168.35445181653915,301.21789592325086,420.2865827296687,540.1551448472778
0.55,0.35,161.35939644774476,291.0492763163533,406.0000935969149,518.1535476209533
0.55,0.36,154.8942114327868,281.6046125127157,392.50190590195956,497.8692097631125
0.55,0.37,148.9048518988629,272.81294402564436,379.70971746942143,479.20115191677473
0.55,0.38,143.3440832669712,264.6119991886108,367.55389598666517,462.0301697075581
0.55,0.39,138.17046955609916,256.94693191403786,355.9761160123569,446.2338582251113
0.55,0.4,133.34753356038104,249.7692694465268,344.9280209092593,431.69309277222925
0.55,0.41,128.84305622066555,243.03603153621455,334.36985457961185,418.29478858712616
0.55,0.42,124.6284893540271,236.70898965088458,324.26905879491756,405.9330572300475
0.55,0.43,120.67846118891153,230.75404119015167,314.5988759044587,394.5096745235565
0.55,0.44,116.9703582622858,225.14067861187544,305.33702261195447,383.9342342763685
0.55,0.45,113.4839704487254,219.8415372608152,296.4645034089905,374.12412312315786
0.55,0.46,110.20118842169225,214.83200875223972,287.9646154680924,365.0043570513348
0.55,0.47,107.10574484960264,210.08990919335923,279.82216942772004,356.50729363520435
0.55,0.48,104.18299222317384,205.59519346481844,272.0229226709394,348.5722355225897
0.55,0.49,101.4197114859522,201.32970834015757,264.5532005928923,341.14494913518246
0.55,0.5,98.80394666529848,197.2769784747958,257.3996697639417,334.17712829305566
0.55,0.51,96.32486152938681,193.42202031132396,250.54922402881655,327.62583298348864
0.55,0.52,93.97261496832806,189.75117977371124,243.98894780088082,321.4529296805293
0.55,0.53,91.7382523454751,186.25199029739778,237.70612720333608,315.62455350105296
0.55,0.54,89.61361051365184,182.91304829524555,231.68828697872192,310.11060588259056
0.55,0.55,87.59123455963835,179.7239036141766,225.92323780896294,304.88429556608804
0.55,0.56,85.66430464464429,176.6749629130594,220.39912419435788,299.9217260027312
0.55,0.57,83.82657156021229,173.757404203028,215.104467177209,295.20152896686255
0.55,0.58,82.07229982846584,170.9631010491864,210.02819909278998,290.704541991156
0.55,0.59,80.39621735022084,168.28455514649923,205.1596894281287,286.4135259936609
0.55,0.6,78.79347075044572,165.714836159662,200.48876202481696,282.31291888141357
0.55,0.61,77.2595856933221,163.2475278633023,196.0057045006696,278.38862077218346
0.55,0.62,75.79043154228042,160.87667973828377,191.70127106363836,274.6278066033926
0.55,0.63,74.38218982764862,158.59676327623785,187.56667998016573,271.01876217284865
0.55,0.64,73.03132605838702,156.40263231912806,183.5936069302731,267.55073999611983
0.55,0.65,71.73456447703848,154.28948681452184,179.7741753941209,264.2138317161673
0.55,0.66,70.48886541049198,152.25283939993145,176.1009451102106,260.9988541303128
0.55,0.67,69.29140491475812,150.2884842385292,172.56689955011265,257.89724618954864
0.55,0.68,68.13955645090341,148.3924675091498,169.16543328732897,254.9009745683849
0.55,0.69,67.03087436287788,146.56105889792786,165.89034011426412,252.0024456003908
0.55,0.7,65.96307895672291,144.79072333423804,162.73580279701406,249.19442153243668
0.55,0.71,64.93404300546091,143.07809203941378,159.69638547449517,246.46993918608783
0.55,0.72,63.941779525452716,141.41993168161457,156.76702993727207,243.82222925690016
0.55,0.73,62.98443068857589,139.8131100048979,153.94305741045113,241.24463468184322
0.55,0.74,62.06025775068754,138.25455564950246,151.22017808828656,238.73052684568697
0.55,0.75,61.16763189080692,136.7412088896299,148.5945116384265,236.27321901556263
0.55,0.76,60.30502586777915,135.2699585183449,146.0626233759695,233.8658775033678
0.55,0.77,59.47100641164712,133.83755788547512,143.6215830212465,231.50143297688638
0.55,0.78,58.66422727646927,132.44050991381067,141.26905613013017,229.17249750848518
0.55,0.79,57.88342288935395,131.07490676069935,139.00344244055393,226.871297872322
0.55,0.8,57.12740253766852,129.73620557810293,136.8240795922627,224.58964266968587
0.55,0.81,56.395045042735994,128.4189215432031,134.73153095861036,222.3189498767696
0.55,0.82,55.68529387378221,127.11623538667679,132.72796027624597,220.05037065624668
0.55,0.83,54.9971526608869,125.81957633149925,130.81753207574835,217.77505021412063
0.55,0.84,54.3296810699061,124.5184108100125,129.00660746485536,215.48455882610136
0.55,0.85,53.681991006276654,123.20077860321608,127.30319354377987,213.17149545367374
0.55,0.86,53.0532431178916,121.85534442031805,125.71487836192624,210.83020707479258
0.55,0.87,52.44264357030296,120.47507036238561,124.24514590388279,208.45749077019252
0.55,0.88,51.84944107015861,119.06058806251286,122.88999224806184,206.0530900089783
0.55,0.89,51.27292411518995,117.62027045489805,121.63784288559917,203.61981012376066
0.55,0.9,50.71241845113284,116.16671084652329,120.47306346970673,201.1631804177603
0.600,0.026,16245.861367127189,18476.418437660934,20231.313666940747,21872.744031548842,23477.053137805382
0.6,0.03,12356.098719545476,14221.446362275216,15739.91653512721,17202.643895349112
0.6,0.04,7125.7560670588455,8432.79005623048,9500.35749943068,10523.081249252085
0.6,0.05,4669.080103934868,5667.326310810698,6493.3511280353005,7291.473956898014
0.6,0.06,3315.8624832523574,4119.5805521429575,4794.033788309264,5452.5748197836265
0.6,0.07,2489.0964612861358,3159.973592028837,3730.5721767393316,4293.341759187624
0.6,0.08,1945.741504086716,2520.663236345281,3015.832749020941,3508.80073414848
0.6,0.09,1568.7468378562141,2071.4090763683785,2509.423848490557,2949.3058660732704
0.6,0.1,1295.9812701952087,1742.4481367260491,2135.724903938225,2533.906145511384
0.6,0.11,1091.9301346517286,1493.5593823336073,1850.9013326840895,2215.4734338340804
0.6,0.12,935.0724461538615,1300.1702778178158,1628.0335188351974,1964.943472012038
0.6,0.13,811.7358090479664,1146.5478549802624,1449.7997012050694,1763.5385031110302
0.6,0.14,712.8879121879306,1022.2208568201004,1304.6158949385247,1598.651415954196
0.6,0.15,632.36243164479,919.9892928607118,1184.4801713098198,1461.539912296589
0.6,0.16,565.829956990831,834.7630785699254,1083.7101696546122,1345.9718552256397
0.6,0.17,510.1763243159232,762.8564773262415,998.1733293883359,1247.3966643832366
0.6,0.18,463.11371867967404,701.5443075226898,924.8010126820109,1162.4205096615242
0.6,0.19,422.9298924232186,648.7742457804128,861.2724531487166,1088.4635650667149
0.6,0.2,388.32208190613113,602.9753177118521,805.8036737455941,1023.5298681189372
0.6,0.21,358.28439320744604,562.9273955274784,757.0031795679301,966.0486903127079
0.6,0.22,332.0298215613631,527.6703921918651,713.7712263100317,914.7622758446274
0.6,0.23,308.9352256990152,496.4398829161577,675.2281808374863,868.6440906532923
0.6,0.24,288.50183396311877,468.62068535482035,640.6627070430227,826.8374039914731
0.6,0.25,270.32645756644564,443.71287230918614,609.4937160089444,788.6080071079194
0.6,0.26,254.08021127051978,421.3065375916472,581.2420371985626,753.308822613861
0.6,0.27,239.49258005308013,401.06282012596915,555.5090653066507,720.3598737743806
0.6,0.28,226.33934698073082,382.6994659953653,531.9604892629523,689.254647648045
0.6,0.29,214.4333464869827,365.9797239503266,510.31377951253063,659.6041030506235
0.6,0.3,203.61731014737282,350.70371904650426,490.32849712410797,631.2006575450442
0.6,0.31,193.7582795204222,336.7016890560513,471.7987555413058,604.0366386474163
0.6,0.32,184.74320476245188,323.8286355595631,454.5473516557735,578.2317478475048
0.6,0.33,176.47544918053245,311.9600597401367,438.4212114845696,553.9219510712827
0.6,0.34,168.87199217613426,300.98853732567574,423.28788193766263,531.1896702891182
0.6,0.35,161.8611751263362,290.82094815574686,409.0328533224717,510.0502075169441
0.6,0.36,155.38087269118967,281.3762204361469,395.55752441103397,490.46639322913927
0.6,0.37,149.37699994742897,272.5834826432302,382.7776308512114,472.367837964044
0.6,0.38,143.80228647348085,264.38054054066527,370.62195912889376,455.66588946260873
0.6,0.39,138.61526403543357,256.71261517836706,359.0311758603669,440.26335806574707
0.6,0.4,133.77942624992406,249.53129168656707,347.956629062759,426.0603977697223
0.6,0.41,129.26252752650507,242.79363932269126,337.359030333702,412.95802424612674
0.6,0.42,125.03599543804802,236.46147141485343,327.2069979963444,400.86030418671714
0.6,0.43,121.07443595460923,230.50072018526316,317.4755124889719,389.67581168314564
0.6,0.44,117.35521508713168,224.8809063793674,308.14438430738596,379.31864054211593
0.6,0.45,113.85810370271167,219.57468750288294,299.19684773904993,369.7090862644082
0.6,0.46,110.56497480516946,214.5574715289213,290.6183718583188,360.77403554603995
0.6,0.47,107.45954457774901,209.8070853648861,282.3957379045077,352.447085897346
0.6,0.48,104.52715008013135,205.30348930647074,274.5163871490954,344.66842934185763
0.6,0.49,101.75455776782336,201.02853025975472,266.9680089266203,337.3845490880736
0.6,0.5,99.12979802796077,196.96572776435386,259.7383198383994,330.547785557397
0.6,0.51,96.6420217546909,193.1000878644603,252.81498075401194,324.11582625698117
0.6,0.52,94.28137565997048,189.41794069881055,246.185603416107,318.05116540557157
0.6,0.53,92.0388935640632,185.90679835345256,239.83780822159898,312.3205677402666
0.6,0.54,89.9064013589705,182.5552300727158,233.75930540946342,306.89455954369765
0.6,0.55,87.87643370691056,179.3527523769911,227.93798132758818,301.74696031734743
0.6,0.56,85.94216084050615,176.28973200994793,222.3619788440349,296.8544612732005
0.6,0.57,84.09732408323113,173.3572999465069,217.01976625498128,292.1962518275513
0.6,0.58,82.33617891835341,170.54727494886808,211.90019254182957,287.7536921533746
0.6,0.59,80.65344460917869,167.85209536943657,206.992528971364,283.5100280994764
0.6,0.6,79.04425951967427,165.26475807482112,202.28649822091558,279.4501439835776
0.6,0.61,77.50414140721738,162.77876350938985,197.77229277170102,275.56034856955256
0.6,0.62,76.02895206249802,160.38806603533686,193.4405844888245,271.828189699091
0.6,0.63,74.61486575891622,158.08702878208763,189.28252726206435,268.2422933962933
0.6,0.64,73.25834104767019,155.87038231440619,185.289754425996,264.7922236927329
0.6,0.65,71.95609549747296,153.73318648778906,181.45437247876043,261.46835986505306
0.6,0.66,70.70508303127971,151.67079490377898,177.7689524154722,258.26178820151887
0.6,0.67,69.50247355811248,149.67882140865845,174.22651980599673,255.1642058012188
0.6,0.68,68.3456346369537,147.7531080981454,170.8205445869818,252.16783425493628
0.6,0.69,67.23211494335736,145.88969430226328,167.54493140647708,249.2653413642873
0.6,0.7,66.1596293381668,144.08478603224106,164.39401125174905,246.44976933464835
0.6,0.71,65.12604536256873,142.33472538439554,161.36253499752084,243.71446814319987
0.6,0.72,64.12937100518866,140.63595942829093,158.445669416129,241.05303305690893
0.6,0.73,63.16774360552913,138.98500818279712,155.63899606610283,238.45924558517027
0.6,0.74,62.23941977415377,137.37843144350316,152.9385132789559,235.92701753601378
0.6,0.75,61.34276622406341,135.812794532346,150.34064112969835,233.45033835322383
0.6,0.76,60.47625141988197,134.2846335907052,147.84222870697445,231.02322660655503
0.6,0.77,59.63843796217208,132.79042196521056,145.4405620577202,228.63968745992506
0.6,0.78,58.82797563349874,131.3265407065052,143.13336970193632,226.29367922074798
0.6,0.79,58.043595041030315,129.88925836930633,140.9188204405459,223.97909371178662
0.6,0.8,57.284101797615556,128.47472819088347,138.79550528852496,221.68975714710902
0.6,0.81,56.54837118959559,127.07901398383822,136.76239210702448,219.41946018872687
0.6,0.82,55.83534328514452,125.69815859479736,134.81873899414163,217.1620273423962
0.6,0.83,55.14401844184729,124.3283082904629,132.9639529868647,214.9114358084221
0.6,0.84,54.47345317647497,122.96589962827768,131.19738743430858,212.6619908854979
0.6,0.85,53.82275636386428,121.60789937365287,129.51808740173217,210.40855748012808
0.6,0.86,53.191085735057484,120.25206378999891,127.92451670448003,208.14683442751428
0.6,0.87,52.57764464799319,118.89715966699518,126.41432413634082,205.87364156086696
0.6,0.88,51.98167910658595,117.5430810967502,124.98421481661141,203.58717346355743
0.6,0.89,51.40247500656171,116.19081594540715,123.62997264679929,201.28716613864452
0.6,0.9,50.83935558837394,114.84226092067664,122.34663491881892,198.9749305766186
0.650,0.026,16256.951655893259,18460.550604009746,20246.714748033046,21868.529980505329,23473.257189454278
0.65,0.03,12363.438251916308,14209.060881020247,15747.44135872331,17186.866822540116
0.65,0.04,7131.888211001889,8424.748774282629,9508.45940296304,10519.783330202736
0.65,0.05,4674.144904603639,5661.379201512224,6500.331360678931,7290.152455678976
0.65,0.06,3320.147596918404,4114.970428443257,4800.0918464568485,5451.761832967904
0.65,0.07,2492.8104759996027,3156.295752481965,3735.9604485323857,4292.770689163968
0.65,0.08,1949.0253268756671,2517.6668882753343,3020.73244453264,3508.3772243926696
0.65,0.09,1571.6968824437301,2068.928062427597,2513.960832235903,2948.972308139804
0.65,0.1,1298.6653303345684,1740.3672220955332,2139.988448020884,2533.6186981939577
0.65,0.11,1094.3972364311078,1491.795686279704,1854.956590555329,2215.1953455870585
0.65,0.12,937.3589664203363,1298.6623584738604,1631.9294026133948,1964.6417679531778
0.65,0.13,813.8693622213029,1145.248983160498,1453.5739234154305,1763.1817842268995
0.65,0.14,714.889887954742,1021.0947076038466,1308.2982805544289,1598.208157901018
0.65,0.15,634.2496970874846,919.0070929613017,1188.0948937275646,1460.97699111938
0.65,0.16,567.6160271376684,833.9016623948066,1087.2772993946253,1345.2531323418953
0.65,0.17,511.8721855266839,762.0969282881517,1001.7099318408766,1246.4815095688864
0.65,0.18,464.72841969051206,700.8709868194351,928.3219420127459,1161.2621693685137
0.65,0.19,424.4709763700881,648.1740840408139,864.7909359303573,1087.00731467349
0.65,0.2,389.7959072661834,602.437288902019,809.3317427817832,1021.7109460571464
0.65,0.21,359.6963756967585,562.4421197234434,760.5519972328736,963.7901455107623
0.65,0.22,333.38461883610023,527.229831090192,717.3513226942661,911.9731561580121
0.65,0.23,310.23688003616496,496.03710316450486,678.849622224554,865.2190171275695
0.65,0.24,289.7538836423738,468.24967221394155,644.3352030306575,822.6597384422187
0.65,0.25,271.5320246472626,443.3683811779824,613.2266679008325,783.5606314742549
0.65,0.26,255.242071364624,420.98397437548465,585.0445255261649,747.29819892595
0.65,0.27,240.613218223059,400.758143836303,559.3897702403568,713.3569915786991
0.65,0.28,227.4210028476138,382.4091086734527,535.927534312607,681.343614420102
0.65,0.29,215.47805087390594,365.70052423090624,514.3744867845656,651.0048832142808
0.65,0.3,204.62691503346994,350.43286656579465,494.48904249927887,622.2263188167491
0.65,0.31,194.73448267027257,336.4366775606006,476.06371609148624,594.9961486366428
0.65,0.32,185.68757009060144,323.56722305666676,458.9191476486083,569.3483606203532
0.65,0.33,177.38942368006582,311.70023439351286,442.8994638243194,545.3137894672128
0.65,0.34,169.7569200641072,300.72848807411896,427.8687343201436,522.8952767799834
0.65,0.35,162.71830972378356,290.55903924196963,413.7083452119482,502.0635419103808
0.65,0.36,156.21138645073265,281.11096919396806,400.31513895213135,482.76323190778254
0.65,0.37,150.18199295955114,272.31354001578285,387.6001662345983,464.92119714530014
0.65,0.38,144.58279371835488,264.10467389977305,375.48786238401436,448.4534242023087
0.65,0.39,139.37226159643407,256.4296930919027,363.91541734449595,433.269856763979
0.65,0.4,134.51383666445219,249.24027034099518,352.8320843425464,419.2775179942085
0.65,0.41,129.97522441747938,242.49355035652815,342.19820255286646,406.38262384631776
0.65,0.42,125.72780754348325,236.15141095738602,331.9838100399602,394.49225268264996
0.65,0.43,121.74615065172885,230.17983892628712,322.16687277062124,383.5158784403529
0.65,0.44,118.0075814905187,224.54840052104552,312.7312966142387,373.36682759315556
0.65,0.45,114.49183540227065,219.22979046577328,303.66496315223594,363.96356555558356
0.65,0.46,111.1807522982549,214.19944630125093,294.9580138823988,355.23067867713235
0.65,0.47,108.05801744079876,209.43521739860995,286.6015243427342,347.09946441507316
0.65,0.48,105.10893891750084,204.9170798756711,278.5866071497523,339.50812144290427
0.65,0.49,102.32025596925399,200.62689020716735,270.9039012375544,332.4015985651496
0.65,0.5,99.67997336107555,196.54817157099905,263.5433607509416,325.7311962001368
0.65,0.51,97.17721781466852,192.66592798549067,256.49424759804316,319.4540182864215
0.65,0.52,94.80211319491904,188.96648211623977,249.74524374937667,313.5323572893236
0.65,0.53,92.54567169189313,185.43733330421387,243.2846201941401,307.9330724665922
0.65,0.54,90.39969868892649,182.06703291820327,237.10042050153467,302.62699968485845
0.65,0.55,88.3567093771308,178.84507458923966,231.1806341217709,297.5884135852461
0.65,0.56,86.40985548109774,175.7617972596215,225.51334687994887,292.7945505789345
0.65,0.57,84.55286071304367,172.80829929044646,220.0868640941147,288.2251933510877
0.65,0.58,82.7799637824736,169.976362130582,214.8898064367932,283.86231312999195
0.65,0.59,81.08586796308727,167.25838226594027,209.91118109984993,279.6897638432177
0.65,0.6,79.46569636526822,164.6473103494565,205.14043184889528,275.69302157126305
0.65,0.61,77.91495218514858,162.13659656466828,200.56747175689986,271.85896281110155
0.65,0.62,76.42948330472565,159.7201414051802,196.18270217468603,268.1756755807423
0.65,0.63,75.00545070482868,157.39225116283876,191.97702106647955,264.63229808809655
0.65,0.64,73.63930022677239,155.14759751326312,187.94182334848762,261.2188804151283
0.65,0.65,72.32773728119831,152.98118067157216,184.0689953893111,257.92626535827014
0.65,0.66,71.06770415627635,150.8882956680559,180.3509053971866,254.74598518702402
0.65,0.67,69.85635962300326,148.86450136562684,176.78039104042688,251.67017162415112
0.65,0.68,68.69106057441925,146.90559191255835,173.3507453230877,248.69147681668989
0.65,0.69,67.56934546915477,145.00757039916036,170.05570145960823,245.8030034671051
0.65,0.7,66.48891937856526,143.16662456999376,166.88941724910273,242.99824264082002
0.65,0.71,65.44764046151755,141.37910453917343,163.8464592300073,240.2710180750811
0.65,0.72,64.44350771242979,139.64150257030002,160.92178668724506,237.61543610003247
0.65,0.73,63.47464984675808,137.95043511946213,158.11073537633462,235.02584056207704
0.65,0.74,62.53931520422581,136.30262750209292,155.40900061398375,232.49677242874697
0.65,0.75,61.63586256416463,134.69490173156075,152.81261915985093,230.0229340703926
0.65,0.76,60.76275277954886,133.12416827992843,150.3179490849437,227.59915857255862
0.65,0.77,59.91854114692961,131.58742270820534,147.92164660694937,225.22038484577726
0.65,0.78,59.1018704388439,130.08174826471918,145.6206387099933,222.88163976952748
0.65,0.79,58.311464533475736,128.60432559307338,143.41209031667944,220.57802911935968
0.65,0.8,57.54612258340493,127.15245053855509,141.29336492950802,218.30473953551353
