i,x_inf,x_sup,theta_inf,theta_sup,mesh_size_upper,fem_order_upper,mesh_size_lower_cr,isLG,mesh_size_lower_LG,fem_order_lower_LG
1949,0.60669317768981657,0.61594977422174546,0.083746876916088009,0.086646706716120597,0.004907,1,0.004907,0,-,-
1950,0.61594977422174546,0.6253834248609661,0.083746876916088009,0.086646706716120597,0.004974,1,0.004974,0,-,-
1951,0.6253834248609661,0.63499640957144599,0.083746876916088009,0.086646706716120597,0.005042,1,0.005042,0,-,-
1952,0.63499640957144599,0.64479067211860874,0.083746876916088009,0.086646706716120597,0.005100,1,0.005100,0,-,-
1953,0.64479067211860874,0.65476523030598244,0.083746876916088009,0.086646706716120597,0.005162,1,0.005162,0,-,-
1954,0.65476523030598244,0.6649224366034584,0.083746876916088009,0.086646706716120597,0.005227,1,0.005227,0,-,-
1955,0.6649224366034584,0.67527154304055614,0.083746876916088009,0.086646706716120597,0.005295,1,0.005295,0,-,-
1956,0.67527154304055614,0.68581604710657618,0.083746876916088009,0.086646706716120597,0.005368,1,0.005368,0,-,-
1957,0.68581604710657618,0.69655939342631978,0.083746876916088009,0.086646706716120597,0.005437,1,0.005437,0,-,-
1958,0.69655939342631978,0.70748387194448503,0.083746876916088009,0.086646706716120597,0.005502,1,0.005502,0,-,-
1959,0.70748387194448503,0.7185936337944745,0.083746876916088009,0.086646706716120597,0.005571,1,0.005571,0,-,-
1960,0.7185936337944745,0.72989540668259378,0.083746876916088009,0.086646706716120597,0.005643,1,0.005643,0,-,-
1961,0.72989540668259378,0.74139660992124268,0.083746876916088009,0.086646706716120597,0.005720,1,0.005720,0,-,-
1962,0.74139660992124268,0.7530855016945962,0.083746876916088009,0.086646706716120597,0.005795,1,0.005795,0,-,-
1963,0.7530855016945962,0.76494894358865617,0.083746876916088009,0.086646706716120597,0.005864,1,0.005864,0,-,-
1964,0.76494894358865617,0.77698911613055688,0.083746876916088009,0.086646706716120597,0.005937,1,0.005937,0,-,-
1965,0.77698911613055688,0.78921643549798171,0.083746876916088009,0.086646706716120597,0.006014,1,0.006014,0,-,-
1966,0.78921643549798171,0.80162973958143635,0.083746876916088009,0.086646706716120597,0.006096,1,0.006096,0,-,-
1967,0.80162973958143635,0.81421700199341818,0.083746876916088009,0.086646706716120597,0.006171,1,0.006171,0,-,-
1968,0.81421700199341818,0.82696259571709552,0.083746876916088009,0.086646706716120597,0.006244,1,0.006244,0,-,-
1969,0.82696259571709552,0.83987847249773062,0.083746876916088009,0.086646706716120597,0.006322,1,0.006322,0,-,-
1970,0.83987847249773062,0.85298676164541531,0.083746876916088009,0.086646706716120597,0.006402,1,0.006402,0,-,-
1971,0.85298676164541531,0.86628658652326695,0.083746876916088009,0.086646706716120597,0.006483,1,0.006483,0,-,-
1972,0.86628658652326695,0.87973061924224361,0.083746876916088009,0.086646706716120597,0.006556,1,0.006556,0,-,-
1973,0.87973061924224361,0.89332671584406187,0.083746876916088009,0.086646706716120597,0.006632,1,0.006632,0,-,-
1974,0.89332671584406187,0.90722908779059752,0.083746876916088009,0.086646706716120597,0.006709,1,0.006709,0,-,-
1975,0.90722908779059752,0.92137462356982991,0.083746876916088009,0.086646706716120597,0.006788,1,0.006788,0,-,-
1976,0.92137462356982991,0.93565413736122083,0.083746876916088009,0.086646706716120597,0.006857,1,0.006857,0,-,-
1977,0.93565413736122083,0.95047821377382835,0.083746876916088009,0.086646706716120597,0.006931,1,0.006931,0,-,-
1978,0.95047821377382835,0.96673961915725626,0.083746876916088009,0.086646706716120597,0.007000,1,0.007000,0,-,-
1979,0.96673961915725626,0.98313052339649154,0.083746876916088009,0.086646706716120597,0.007071,1,0.007071,0,-,-
1980,0.98313052339649154,1.0009999999999999,0.083746876916088009,0.086646706716120597,0.007139,1,0.007139,0,-,-
1981,0.5,0.50742599432285007,0.086646706716120597,0.089846501141164728,0.002000,1,0.002000,0,-,-
1982,0.50742599432285007,0.5149696194782355,0.086646706716120597,0.089846501141164728,0.003277,1,0.003277,0,-,-
1983,0.5149696194782355,0.52263295912545971,0.086646706716120597,0.089846501141164728,0.004407,1,0.004407,0,-,-
1984,0.52263295912545971,0.53041814048889668,0.086646706716120597,0.089846501141164728,0.004462,1,0.004462,0,-,-
1985,0.53041814048889668,0.53832617098348245,0.086646706716120597,0.089846501141164728,0.004520,1,0.004520,0,-,-
1986,0.53832617098348245,0.54635906882605434,0.086646706716120597,0.089846501141164728,0.004327,1,0.004327,0,-,-
1987,0.54635906882605434,0.5545294761830265,0.086646706716120597,0.089846501141164728,0.002657,1,0.002657,0,-,-
1988,0.5545294761830265,0.56284331869638438,0.086646706716120597,0.089846501141164728,0.004699,1,0.004699,0,-,-
1989,0.56284331869638438,0.57130568379749846,0.086646706716120597,0.089846501141164728,0.004753,1,0.004753,0,-,-
1990,0.57130568379749846,0.57991995256485418,0.086646706716120597,0.089846501141164728,0.004811,1,0.004811,0,-,-
1991,0.57991995256485418,0.58868615384191791,0.086646706716120597,0.089846501141164728,0.004871,1,0.004871,0,-,-
1992,0.58868615384191791,0.59760756610146826,0.086646706716120597,0.089846501141164728,0.004936,1,0.004936,0,-,-
1993,0.59760756610146826,0.60669317768981657,0.086646706716120597,0.089846501141164728,0.005004,1,0.005004,0,-,-
1994,0.60669317768981657,0.61594977422174546,0.086646706716120597,0.089846501141164728,0.005066,1,0.005066,0,-,-
1995,0.61594977422174546,0.6253834248609661,0.086646706716120597,0.089846501141164728,0.005125,1,0.005125,0,-,-
1996,0.6253834248609661,0.63499640957144599,0.086646706716120597,0.089846501141164728,0.005187,1,0.005187,0,-,-
