i,j,x_inf,x_sup,th_inf,th_sup,y_inf,y_sup,sup_lam2,inf_lam3
1,1,0.5,0.51100348569564502,0.34775712073332488,0.35773221915189179,0.18690798867413147,0.18690798867413191,695.35043541268692,838.1648257679276
2,1,0.5110034856956448,0.52200697139128993,0.34775712073332488,0.35773221915189179,0.19098906196625037,0.19098906196625093,673.73124859097004,815.56550672312119
3,1,0.52200697139128971,0.53301045708693484,0.34775712073332488,0.35773221915189179,0.19507013525836933,0.19507013525836991,653.29775025616743,794.47653577756626
4,1,0.53301045708693462,0.54401394278257975,0.34775712073332488,0.35773221915189179,0.19915120855048829,0.19915120855048885,633.98779533015556,774.67620793542517
5,1,0.54401394278257953,0.55501742847822466,0.34775712073332488,0.35773221915189179,0.20323228184260725,0.20323228184260786,615.69956179141298,755.05385316057186
6,1,0.55501742847822455,0.56602091417386957,0.34775712073332488,0.35773221915189179,0.20731335513472621,0.20731335513472676,598.36801206457551,736.17087030118819
7,1,0.56602091417386935,0.57702439986951448,0.34775712073332488,0.35773221915189179,0.21139442842684517,0.21139442842684575,581.92219280386223,719.55066024069583
8,1,0.57702439986951426,0.58802788556515939,0.34775712073332488,0.35773221915189179,0.21547550171896412,0.21547550171896476,566.3017551574203,703.77705140402145
9,1,0.58802788556515917,0.5990313712608043,0.34775712073332488,0.35773221915189179,0.21955657501108305,0.21955657501108372,551.45210304765726,688.54208792551583
10,1,0.59903137126080408,0.61003485695644921,0.34775712073332488,0.35773221915189179,0.22363764830320201,0.22363764830320268,537.32670175314991,674.00436991520905
11,1,0.6100348569564491,0.62103834265209423,0.34775712073332488,0.35773221915189179,0.22771872159532097,0.22771872159532161,523.8732571377692,660.72044116747657
12,1,0.62103834265209401,0.63204182834773914,0.34775712073332488,0.35773221915189179,0.23179979488743993,0.23179979488744062,511.05128349925479,647.08009249626571
13,1,0.63204182834773881,0.64304531404338405,0.34775712073332488,0.35773221915189179,0.23588086817955889,0.23588086817955956,498.81999033592177,634.50220718297157
14,1,0.64304531404338372,0.65404879973902896,0.34775712073332488,0.35773221915189179,0.23996194147167785,0.23996194147167857,487.15338358066271,622.97427274528263
15,1,0.65404879973902863,0.66505228543467387,0.34775712073332488,0.35773221915189179,0.24404301476379681,0.24404301476379753,476.01712136483457,610.80760393319156
16,1,0.66505228543467365,0.67605577113031878,0.34775712073332488,0.35773221915189179,0.24812408805591576,0.24812408805591651,465.37798632642932,600.81215792299179
17,1,0.67605577113031845,0.68705925682596369,0.34775712073332488,0.35773221915189179,0.25220516134803467,0.2522051613480355,455.21043944556465,590.0703992967409
18,1,0.68705925682596336,0.6980627425216086,0.34775712073332488,0.35773221915189179,0.25628623464015365,0.25628623464015443,445.47691535667394,579.96717113587056
